# n ra dec fovra fovdec 
152 128.62009 -17.0 3.0 3.0  
153 131.75716 -17.0 3.0 3.0  
154 134.89424 -17.0 3.0 3.0  
155 138.03131 -17.0 3.0 3.0  
156 141.16839 -17.0 3.0 3.0  
157 144.30546 -17.0 3.0 3.0  
158 147.44254 -17.0 3.0 3.0  
159 150.57961 -17.0 3.0 3.0  
160 153.71669 -17.0 3.0 3.0  
161 156.85376 -17.0 3.0 3.0  
162 159.99084 -17.0 3.0 3.0  
163 163.12791 -17.0 3.0 3.0  
164 166.26499 -17.0 3.0 3.0  
165 169.40206 -17.0 3.0 3.0  
166 172.53914 -17.0 3.0 3.0  
167 175.67622 -17.0 3.0 3.0  
168 178.81329 -17.0 3.0 3.0  
169 181.95037 -17.0 3.0 3.0  
170 185.08744 -17.0 3.0 3.0  
171 188.22452 -17.0 3.0 3.0  
172 191.36159 -17.0 3.0 3.0  
173 194.49867 -17.0 3.0 3.0  
174 197.63574 -17.0 3.0 3.0  
175 200.77282 -17.0 3.0 3.0  
176 203.90989 -17.0 3.0 3.0  
177 207.04697 -17.0 3.0 3.0  
178 210.18404 -17.0 3.0 3.0  
179 213.32112 -17.0 3.0 3.0  
180 216.45819 -17.0 3.0 3.0  
181 219.59527 -17.0 3.0 3.0  
182 222.73234 -17.0 3.0 3.0  
183 225.86942 -17.0 3.0 3.0  
184 229.00649 -17.0 3.0 3.0  
185 232.14357 -17.0 3.0 3.0  
186 235.28065 -17.0 3.0 3.0  
187 238.41772 -17.0 3.0 3.0  
188 241.5548 -17.0 3.0 3.0  
189 244.69187 -17.0 3.0 3.0  
190 247.82895 -17.0 3.0 3.0  
191 250.96602 -17.0 3.0 3.0  
192 254.1031 -17.0 3.0 3.0  
193 257.24017 -17.0 3.0 3.0  
194 260.37725 -17.0 3.0 3.0  
195 263.51432 -17.0 3.0 3.0  
196 266.6514 -17.0 3.0 3.0  
197 269.78847 -17.0 3.0 3.0  
198 272.92555 -17.0 3.0 3.0  
199 276.06262 -17.0 3.0 3.0  
200 279.1997 -17.0 3.0 3.0  
201 282.33677 -17.0 3.0 3.0  
202 285.47385 -17.0 3.0 3.0  
203 288.61092 -17.0 3.0 3.0  
204 291.748 -17.0 3.0 3.0  
205 294.88508 -17.0 3.0 3.0  
206 298.02215 -17.0 3.0 3.0  
207 301.15923 -17.0 3.0 3.0  
208 304.2963 -17.0 3.0 3.0  
209 307.43338 -17.0 3.0 3.0  
210 310.57045 -17.0 3.0 3.0  
211 313.70753 -17.0 3.0 3.0  
212 316.8446 -17.0 3.0 3.0  
213 319.98168 -17.0 3.0 3.0  
214 323.11875 -17.0 3.0 3.0  
215 326.25583 -17.0 3.0 3.0  
216 329.3929 -17.0 3.0 3.0  
217 332.52998 -17.0 3.0 3.0  
218 335.66705 -17.0 3.0 3.0  
219 338.80413 -17.0 3.0 3.0  
220 341.9412 -17.0 3.0 3.0  
221 345.07828 -17.0 3.0 3.0  
222 348.21535 -17.0 3.0 3.0  
223 351.35243 -17.0 3.0 3.0  
224 354.48951 -17.0 3.0 3.0  
225 357.62658 -17.0 3.0 3.0  
226 3.09184 -14.0 3.0 3.0  
227 6.18368 -14.0 3.0 3.0  
228 9.27552 -14.0 3.0 3.0  
229 12.36736 -14.0 3.0 3.0  
230 15.4592 -14.0 3.0 3.0  
231 18.55105 -14.0 3.0 3.0  
232 21.64289 -14.0 3.0 3.0  
233 24.73473 -14.0 3.0 3.0  
234 27.82657 -14.0 3.0 3.0  
235 30.91841 -14.0 3.0 3.0  
236 34.01025 -14.0 3.0 3.0  
237 37.10209 -14.0 3.0 3.0  
238 40.19393 -14.0 3.0 3.0  
239 43.28577 -14.0 3.0 3.0  
240 46.37761 -14.0 3.0 3.0  
241 49.46945 -14.0 3.0 3.0  
242 52.5613 -14.0 3.0 3.0  
243 55.65314 -14.0 3.0 3.0  
244 58.74498 -14.0 3.0 3.0  
245 61.83682 -14.0 3.0 3.0  
246 64.92866 -14.0 3.0 3.0  
247 68.0205 -14.0 3.0 3.0  
248 71.11234 -14.0 3.0 3.0  
249 74.20418 -14.0 3.0 3.0  
250 77.29602 -14.0 3.0 3.0  
251 80.38786 -14.0 3.0 3.0  
252 83.4797 -14.0 3.0 3.0  
253 86.57154 -14.0 3.0 3.0  
254 89.66339 -14.0 3.0 3.0  
255 92.75523 -14.0 3.0 3.0  
256 95.84707 -14.0 3.0 3.0  
257 98.93891 -14.0 3.0 3.0  
258 102.03075 -14.0 3.0 3.0  
259 105.12259 -14.0 3.0 3.0  
260 108.21443 -14.0 3.0 3.0  
261 111.30627 -14.0 3.0 3.0  
262 114.39811 -14.0 3.0 3.0  
263 117.48995 -14.0 3.0 3.0  
264 120.58179 -14.0 3.0 3.0  
265 123.67364 -14.0 3.0 3.0  
266 126.76548 -14.0 3.0 3.0  
267 129.85732 -14.0 3.0 3.0  
268 132.94916 -14.0 3.0 3.0  
269 136.041 -14.0 3.0 3.0  
270 139.13284 -14.0 3.0 3.0  
271 142.22468 -14.0 3.0 3.0  
272 145.31652 -14.0 3.0 3.0  
273 148.40836 -14.0 3.0 3.0  
274 151.5002 -14.0 3.0 3.0  
275 154.59204 -14.0 3.0 3.0  
276 157.68389 -14.0 3.0 3.0  
277 160.77573 -14.0 3.0 3.0  
278 163.86757 -14.0 3.0 3.0  
279 166.95941 -14.0 3.0 3.0  
280 170.05125 -14.0 3.0 3.0  
281 173.14309 -14.0 3.0 3.0  
282 176.23493 -14.0 3.0 3.0  
283 179.32677 -14.0 3.0 3.0  
284 182.41861 -14.0 3.0 3.0  
285 185.51045 -14.0 3.0 3.0  
286 188.60229 -14.0 3.0 3.0  
287 191.69414 -14.0 3.0 3.0  
288 194.78598 -14.0 3.0 3.0  
289 197.87782 -14.0 3.0 3.0  
290 200.96966 -14.0 3.0 3.0  
291 204.0615 -14.0 3.0 3.0  
292 207.15334 -14.0 3.0 3.0  
293 210.24518 -14.0 3.0 3.0  
294 213.33702 -14.0 3.0 3.0  
295 216.42886 -14.0 3.0 3.0  
296 219.5207 -14.0 3.0 3.0  
297 222.61254 -14.0 3.0 3.0  
298 225.70438 -14.0 3.0 3.0  
299 228.79623 -14.0 3.0 3.0  
300 231.88807 -14.0 3.0 3.0  
301 234.97991 -14.0 3.0 3.0  
302 238.07175 -14.0 3.0 3.0  
303 241.16359 -14.0 3.0 3.0  
304 244.25543 -14.0 3.0 3.0  
305 247.34727 -14.0 3.0 3.0  
306 250.43911 -14.0 3.0 3.0  
307 253.53095 -14.0 3.0 3.0  
308 256.62279 -14.0 3.0 3.0  
309 259.71463 -14.0 3.0 3.0  
310 262.80648 -14.0 3.0 3.0  
311 265.89832 -14.0 3.0 3.0  
312 268.99016 -14.0 3.0 3.0  
313 272.082 -14.0 3.0 3.0  
314 275.17384 -14.0 3.0 3.0  
315 278.26568 -14.0 3.0 3.0  
316 281.35752 -14.0 3.0 3.0  
317 284.44936 -14.0 3.0 3.0  
318 287.5412 -14.0 3.0 3.0  
319 290.63304 -14.0 3.0 3.0  
320 293.72488 -14.0 3.0 3.0  
321 296.81673 -14.0 3.0 3.0  
322 299.90857 -14.0 3.0 3.0  
323 303.00041 -14.0 3.0 3.0  
324 306.09225 -14.0 3.0 3.0  
325 309.18409 -14.0 3.0 3.0  
326 312.27593 -14.0 3.0 3.0  
327 315.36777 -14.0 3.0 3.0  
328 318.45961 -14.0 3.0 3.0  
329 321.55145 -14.0 3.0 3.0  
330 324.64329 -14.0 3.0 3.0  
331 327.73513 -14.0 3.0 3.0  
332 330.82698 -14.0 3.0 3.0  
333 333.91882 -14.0 3.0 3.0  
334 337.01066 -14.0 3.0 3.0  
335 340.1025 -14.0 3.0 3.0  
336 343.19434 -14.0 3.0 3.0  
337 346.28618 -14.0 3.0 3.0  
338 349.37802 -14.0 3.0 3.0  
339 352.46986 -14.0 3.0 3.0  
340 355.5617 -14.0 3.0 3.0  
341 358.65354 -14.0 3.0 3.0  
342 3.05615 -11.0 3.0 3.0  
343 6.1123 -11.0 3.0 3.0  
344 9.16845 -11.0 3.0 3.0  
345 12.2246 -11.0 3.0 3.0  
346 15.28075 -11.0 3.0 3.0  
347 18.3369 -11.0 3.0 3.0  
348 21.39305 -11.0 3.0 3.0  
349 24.4492 -11.0 3.0 3.0  
350 27.50535 -11.0 3.0 3.0  
351 30.5615 -11.0 3.0 3.0  
352 33.61765 -11.0 3.0 3.0  
353 36.6738 -11.0 3.0 3.0  
354 39.72995 -11.0 3.0 3.0  
355 42.7861 -11.0 3.0 3.0  
356 45.84225 -11.0 3.0 3.0  
357 48.8984 -11.0 3.0 3.0  
358 51.95455 -11.0 3.0 3.0  
359 55.0107 -11.0 3.0 3.0  
360 58.06685 -11.0 3.0 3.0  
361 61.123 -11.0 3.0 3.0  
362 64.17915 -11.0 3.0 3.0  
363 67.2353 -11.0 3.0 3.0  
364 70.29145 -11.0 3.0 3.0  
365 73.3476 -11.0 3.0 3.0  
366 76.40375 -11.0 3.0 3.0  
367 79.4599 -11.0 3.0 3.0  
368 82.51605 -11.0 3.0 3.0  
369 85.5722 -11.0 3.0 3.0  
370 88.62835 -11.0 3.0 3.0  
371 91.6845 -11.0 3.0 3.0  
372 94.74065 -11.0 3.0 3.0  
373 97.7968 -11.0 3.0 3.0  
374 100.85295 -11.0 3.0 3.0  
375 103.9091 -11.0 3.0 3.0  
376 106.96525 -11.0 3.0 3.0  
377 110.0214 -11.0 3.0 3.0  
378 113.07755 -11.0 3.0 3.0  
379 116.1337 -11.0 3.0 3.0  
380 119.18985 -11.0 3.0 3.0  
381 122.246 -11.0 3.0 3.0  
382 125.30215 -11.0 3.0 3.0  
383 128.3583 -11.0 3.0 3.0  
384 131.41445 -11.0 3.0 3.0  
385 134.4706 -11.0 3.0 3.0  
386 137.52675 -11.0 3.0 3.0  
387 140.5829 -11.0 3.0 3.0  
388 143.63905 -11.0 3.0 3.0  
389 146.6952 -11.0 3.0 3.0  
390 149.75135 -11.0 3.0 3.0  
